x,t,S_0,V_0,E_0,I_0,R_0,S,V,E,I,R
-3,24,0.008715436,0.001013423,0,4.94E-06,0,0.007716674,0.001011689,-3.83E-09,-5.44E-06,-8.69E-07
-2.684210526,24,0.021778409,0.002532373,0,2.97E-05,0,0.019264624,0.002525911,2.07E-05,0.000335329,0.000352763
-2.368421053,24,0.049155281,0.00571573,0,0.000146528,0,0.043470264,0.005699818,6.11E-05,0.00012951,0.0004157
-2.052631579,24,0.100212343,0.011652598,0,0.0005919,0,0.087699613,0.01151121,0.001193195,0.002354202,0.003960478
-1.736842105,24,0.184535212,0.021457583,0,0.001958657,0,0.143677588,0.01908047,0.022643218,0.0378702,0.042711001
-1.421052632,24,0.306933488,0.03568994,0,0.005309453,0,0.092573648,0.013516835,0.206927513,0.323460606,0.351275552
-1.105263158,24,0.46112248,0.053618893,0,0.011790249,0,0.005772167,0.001158573,0.475518487,0.954329624,1.403451719
-0.789473684,24,0.625742006,0.072760698,0,0.021447557,0,8.39E-05,2.65E-05,0.665715114,1.509745098,2.926918565
-0.473684211,24,0.766975198,0.089183163,0,0.031960563,0,1.61E-06,7.62E-07,0.823467964,1.933053014,4.333869534
-0.157894737,24,0.849130275,0.098736079,0,0.039015098,0,1.51E-07,9.16E-08,0.915242268,2.170241435,5.170847961
0.157894737,24,0.849130275,0.098736079,0,0.039015098,0,1.51E-07,9.16E-08,0.915242268,2.170241435,5.170847961
0.473684211,24,0.766975198,0.089183163,0,0.031960563,0,1.61E-06,7.62E-07,0.823467964,1.933053014,4.333869534
0.789473684,24,0.625742006,0.072760698,0,0.021447557,0,8.39E-05,2.65E-05,0.665715114,1.509745098,2.926918565
1.105263158,24,0.46112248,0.053618893,0,0.011790249,0,0.005772167,0.001158573,0.475518487,0.954329624,1.403451719
1.421052632,24,0.306933488,0.03568994,0,0.005309453,0,0.092573648,0.013516835,0.206927513,0.323460606,0.351275552
1.736842105,24,0.184535212,0.021457583,0,0.001958657,0,0.143677588,0.01908047,0.022643218,0.0378702,0.042711001
2.052631579,24,0.100212343,0.011652598,0,0.0005919,0,0.087699613,0.01151121,0.001193195,0.002354202,0.003960478
2.368421053,24,0.049155281,0.00571573,0,0.000146528,0,0.043470264,0.005699818,6.11E-05,0.00012951,0.0004157
2.684210526,24,0.021778409,0.002532373,0,2.97E-05,0,0.019264624,0.002525911,2.07E-05,0.000335329,0.000352763
3,24,0.008715436,0.001013423,0,4.94E-06,0,0.007716674,0.001011689,-3.83E-09,-5.44E-06,-8.69E-07
-3,30,0.008715436,0.001013423,0,4.94E-06,0,0.007485958,0.001011323,-6.30E-07,-6.07E-05,-2.94E-05
-2.684210526,30,0.021778409,0.002532373,0,2.97E-05,0,0.01866128,0.00252167,5.02E-05,0.000486378,0.000873703
-2.368421053,30,0.049155281,0.00571573,0,0.000146528,0,0.042146081,0.005694778,8.54E-05,0.000162942,0.000582846
-2.052631579,30,0.100212343,0.011652598,0,0.0005919,0,0.084010415,0.011377065,0.002397411,0.005392667,0.008231864
-1.736842105,30,0.184535212,0.021457583,0,0.001958657,0,0.11160003,0.015615085,0.054251806,0.094182033,0.11694713
-1.421052632,30,0.306933488,0.03568994,0,0.005309453,0,0.018459911,0.003253471,0.289808233,0.564367318,0.880565548
-1.105263158,30,0.46112248,0.053618893,0,0.011790249,0,0.000149872,4.45E-05,0.482206125,1.123708082,2.635176308
-0.789473684,30,0.625742006,0.072760698,0,0.021447557,0,4.15E-07,2.19E-07,0.66582444,1.6140493,4.749604883
-0.473684211,30,0.766975198,0.089183163,0,0.031960563,0,-1.09E-09,1.93E-09,0.823470328,2.014214963,6.620883424
-0.157894737,30,0.849130275,0.098736079,0,0.039015098,0,1.31E-09,-6.44E-11,0.915242509,2.243846727,7.721046491
0.157894737,30,0.849130275,0.098736079,0,0.039015098,0,1.31E-09,-6.44E-11,0.915242509,2.243846727,7.721046491
0.473684211,30,0.766975198,0.089183163,0,0.031960563,0,-1.09E-09,1.93E-09,0.823470328,2.014214963,6.620883424
0.789473684,30,0.625742006,0.072760698,0,0.021447557,0,4.15E-07,2.19E-07,0.66582444,1.6140493,4.749604883
1.105263158,30,0.46112248,0.053618893,0,0.011790249,0,0.000149872,4.45E-05,0.482206125,1.123708082,2.635176308
1.421052632,30,0.306933488,0.03568994,0,0.005309453,0,0.018459911,0.003253471,0.289808233,0.564367318,0.880565548
1.736842105,30,0.184535212,0.021457583,0,0.001958657,0,0.11160003,0.015615085,0.054251806,0.094182033,0.11694713
2.052631579,30,0.100212343,0.011652598,0,0.0005919,0,0.084010415,0.011377065,0.002397411,0.005392667,0.008231864
2.368421053,30,0.049155281,0.00571573,0,0.000146528,0,0.042146081,0.005694778,8.54E-05,0.000162942,0.000582846
2.684210526,30,0.021778409,0.002532373,0,2.97E-05,0,0.01866128,0.00252167,5.02E-05,0.000486378,0.000873703
3,30,0.008715436,0.001013423,0,4.94E-06,0,0.007485958,0.001011323,-6.30E-07,-6.07E-05,-2.94E-05
-3,36,0.008715436,0.001013423,0,4.94E-06,0,0.007265173,0.001011337,-4.69E-06,-0.000296644,-0.00021833
-2.684210526,36,0.021778409,0.002532373,0,2.97E-05,0,0.018084686,0.00251842,7.00E-05,-4.69E-05,0.001208783
-2.368421053,36,0.049155281,0.00571573,0,0.000146528,0,0.040856174,0.005688982,0.000115965,0.000223396,0.000796428
-2.052631579,36,0.100212343,0.011652598,0,0.0005919,0,0.079170576,0.011080139,0.005042567,0.012441344,0.018207291
-1.736842105,36,0.184535212,0.021457583,0,0.001958657,0,0.066655854,0.010088083,0.101992466,0.186618364,0.279311036
-1.421052632,36,0.306933488,0.03568994,0,0.005309453,0,0.00195983,0.000444057,0.308885733,0.699906344,1.630140018
-1.105263158,36,0.46112248,0.053618893,0,0.011790249,0,2.75E-06,1.27E-06,0.482395321,1.179746974,3.968465785
-0.789473684,36,0.625742006,0.072760698,0,0.021447557,0,-1.90E-09,8.46E-10,0.665825072,1.646318582,6.614958788
-0.473684211,36,0.766975198,0.089183163,0,0.031960563,0,-1.51E-08,-4.27E-10,0.823470345,2.038916359,8.926302152
-0.157894737,36,0.849130275,0.098736079,0,0.039015098,0,-1.47E-08,-9.76E-10,0.915242526,2.266138642,10.27995991
0.157894737,36,0.849130275,0.098736079,0,0.039015098,0,-1.47E-08,-9.76E-10,0.915242526,2.266138642,10.27995991
0.473684211,36,0.766975198,0.089183163,0,0.031960563,0,-1.51E-08,-4.27E-10,0.823470345,2.038916359,8.926302152
0.789473684,36,0.625742006,0.072760698,0,0.021447557,0,-1.90E-09,8.46E-10,0.665825072,1.646318582,6.614958788
1.105263158,36,0.46112248,0.053618893,0,0.011790249,0,2.75E-06,1.27E-06,0.482395321,1.179746974,3.968465785
1.421052632,36,0.306933488,0.03568994,0,0.005309453,0,0.00195983,0.000444057,0.308885733,0.699906344,1.630140018
1.736842105,36,0.184535212,0.021457583,0,0.001958657,0,0.066655854,0.010088083,0.101992466,0.186618364,0.279311036
2.052631579,36,0.100212343,0.011652598,0,0.0005919,0,0.079170576,0.011080139,0.005042567,0.012441344,0.018207291
2.368421053,36,0.049155281,0.00571573,0,0.000146528,0,0.040856174,0.005688982,0.000115965,0.000223396,0.000796428
2.684210526,36,0.021778409,0.002532373,0,2.97E-05,0,0.018084686,0.00251842,7.00E-05,-4.69E-05,0.001208783
3,36,0.008715436,0.001013423,0,4.94E-06,0,0.007265173,0.001011337,-4.69E-06,-0.000296644,-0.00021833
-3,42,0.008715436,0.001013423,0,4.94E-06,0,0.007058472,0.001012329,-1.73E-05,-0.000732617,-0.000816212
-2.684210526,42,0.021778409,0.002532373,0,2.97E-05,0,0.017577126,0.002521789,3.08E-05,-0.001334187,0.000412696
-2.368421053,42,0.049155281,0.00571573,0,0.000146528,0,0.03958959,0.005681106,0.000164102,0.000441872,0.001152994
-2.052631579,42,0.100212343,0.011652598,0,0.0005919,0,0.072146467,0.010469808,0.010363469,0.025455646,0.039830113
-1.736842105,42,0.184535212,0.021457583,0,0.001958657,0,0.028051147,0.004755733,0.144529149,0.29114107,0.560074671
-1.421052632,42,0.306933488,0.03568994,0,0.005309453,0,0.000157543,4.72E-05,0.311062826,0.751297124,2.472002963
-1.105263158,42,0.46112248,0.053618893,0,0.011790249,0,4.57E-08,3.31E-08,0.482399252,1.198215519,5.319774146
-0.789473684,42,0.625742006,0.072760698,0,0.021447557,0,2.46E-10,3.22E-11,0.665825071,1.656303421,8.47185264
-0.473684211,42,0.766975198,0.089183163,0,0.031960563,0,1.31E-08,1.45E-10,0.823470316,2.046437154,11.2105905
-0.157894737,42,0.849130275,0.098736079,0,0.039015098,0,2.58E-09,8.09E-10,0.915242507,2.272891804,12.81185832
0.157894737,42,0.849130275,0.098736079,0,0.039015098,0,2.58E-09,8.09E-10,0.915242507,2.272891804,12.81185832
0.473684211,42,0.766975198,0.089183163,0,0.031960563,0,1.31E-08,1.45E-10,0.823470316,2.046437154,11.2105905
0.789473684,42,0.625742006,0.072760698,0,0.021447557,0,2.46E-10,3.22E-11,0.665825071,1.656303421,8.47185264
1.105263158,42,0.46112248,0.053618893,0,0.011790249,0,4.57E-08,3.31E-08,0.482399252,1.198215519,5.319774146
1.421052632,42,0.306933488,0.03568994,0,0.005309453,0,0.000157543,4.72E-05,0.311062826,0.751297124,2.472002963
1.736842105,42,0.184535212,0.021457583,0,0.001958657,0,0.028051147,0.004755733,0.144529149,0.29114107,0.560074671
2.052631579,42,0.100212343,0.011652598,0,0.0005919,0,0.072146467,0.010469808,0.010363469,0.025455646,0.039830113
2.368421053,42,0.049155281,0.00571573,0,0.000146528,0,0.03958959,0.005681106,0.000164102,0.000441872,0.001152994
2.684210526,42,0.021778409,0.002532373,0,2.97E-05,0,0.017577126,0.002521789,3.08E-05,-0.001334187,0.000412696
3,42,0.008715436,0.001013423,0,4.94E-06,0,0.007058472,0.001012329,-1.73E-05,-0.000732617,-0.000816212
-3,48,0.008715436,0.001013423,0,4.94E-06,0,0.006867016,0.001014566,-4.03E-05,-0.001114107,-0.001925192
-2.684210526,48,0.021778409,0.002532373,0,2.97E-05,0,0.017157696,0.002534988,-9.23E-05,-0.002657308,-0.002011181
-2.368421053,48,0.049155281,0.00571573,0,0.000146528,0,0.03831309,0.005666694,0.000267267,0.001066433,0.001978188
-2.052631579,48,0.100212343,0.011652598,0,0.0005919,0,0.062173472,0.009407997,0.019342819,0.045133345,0.080552292
-1.736842105,48,0.184535212,0.021457583,0,0.001958657,0,0.008613849,0.001688282,0.16652118,0.369863796,0.948074031
-1.421052632,48,0.306933488,0.03568994,0,0.005309453,0,1.14E-05,4.58E-06,0.311249842,0.770025717,3.338047664
-1.105263158,48,0.46112248,0.053618893,0,0.011790249,0,6.67E-10,8.08E-10,0.482399329,1.204231705,6.661779913
-0.789473684,48,0.625742006,0.072760698,0,0.021447557,0,-1.22E-11,-1.41E-12,0.665825071,1.659402923,10.30485259
-0.473684211,48,0.766975198,0.089183163,0,0.031960563,0,-4.68E-09,-1.04E-11,0.823470334,2.04872835,13.46215956
-0.157894737,48,0.849130275,0.098736079,0,0.039015098,0,-4.64E-09,-2.88E-10,0.915242515,2.274938106,15.30641194
0.157894737,48,0.849130275,0.098736079,0,0.039015098,0,-4.64E-09,-2.88E-10,0.915242515,2.274938106,15.30641194
0.473684211,48,0.766975198,0.089183163,0,0.031960563,0,-4.68E-09,-1.04E-11,0.823470334,2.04872835,13.46215956
0.789473684,48,0.625742006,0.072760698,0,0.021447557,0,-1.22E-11,-1.41E-12,0.665825071,1.659402923,10.30485259
1.105263158,48,0.46112248,0.053618893,0,0.011790249,0,6.67E-10,8.08E-10,0.482399329,1.204231705,6.661779913
1.421052632,48,0.306933488,0.03568994,0,0.005309453,0,1.14E-05,4.58E-06,0.311249842,0.770025717,3.338047664
1.736842105,48,0.184535212,0.021457583,0,0.001958657,0,0.008613849,0.001688282,0.16652118,0.369863796,0.948074031
2.052631579,48,0.100212343,0.011652598,0,0.0005919,0,0.062173472,0.009407997,0.019342819,0.045133345,0.080552292
2.368421053,48,0.049155281,0.00571573,0,0.000146528,0,0.03831309,0.005666694,0.000267267,0.001066433,0.001978188
2.684210526,48,0.021778409,0.002532373,0,2.97E-05,0,0.017157696,0.002534988,-9.23E-05,-0.002657308,-0.002011181
3,48,0.008715436,0.001013423,0,4.94E-06,0,0.006867016,0.001014566,-4.03E-05,-0.001114107,-0.001925192
-3,54,0.008715436,0.001013423,0,4.94E-06,0,0.006685354,0.001017439,-6.82E-05,-0.001126885,-0.003272923
-2.684210526,54,0.021778409,0.002532373,0,2.97E-05,0,0.016803307,0.002555792,-0.000276431,-0.003307464,-0.005612617
-2.368421053,54,0.049155281,0.00571573,0,0.000146528,0,0.03696607,0.005636995,0.000495984,0.002355778,0.003907549
