x,t,S_0,V_0,E_0,I_0,R_0,S,V,E,I,R
-2,6,0.111733443,0.012992261,0,0.000732626,0,0.082627506,0.012971451,0.000185928,0.000463142,0.000627103
-1.9,6,0.13633235,0.015852599,0,0.001082074,0,0.100725259,0.015814028,0.000348859,0.000760895,0.000958588
-1.8,6,0.164658094,0.01914629,0,0.001566556,0,0.121485902,0.019076103,0.000638943,0.001236864,0.001444287
-1.7,6,0.196850113,0.022889548,0,0.002223049,0,0.144945803,0.022764426,0.0011422,0.001986664,0.002145008
-1.6,6,0.232946762,0.027086833,0,0.00309219,0,0.171028832,0.026868667,0.001992284,0.003148161,0.003139843
-1.5,6,0.272863919,0.031728363,0,0.004215969,0,0.199515789,0.031356834,0.003388705,0.004913261,0.004528463
-1.4,6,0.316376319,0.036787944,0,0.005634337,0,0.230015065,0.036170883,0.005615798,0.007538004,0.006431632
-1.3,6,0.363103345,0.042221319,0,0.007380781,0,0.261940164,0.04122332,0.009056977,0.011346619,0.008988408
-1.2,6,0.412500951,0.047965227,0,0.00947711,0,0.294502828,0.046396058,0.014195044,0.016723222,0.012348152
-1.1,6,0.463861238,0.053937353,0,0.011927891,0,0.326733152,0.051543126,0.021585963,0.02408362,0.016655489
-1,6,0.516320815,0.060037304,0,0.014715178,0,0.357538063,0.056498912,0.031793324,0.033820673,0.022027091
-0.9,6,0.568878616,0.066148676,0,0.017794323,0,0.385804057,0.061092817,0.04527704,0.046221413,0.028520878
-0.8,6,0.62042317,0.072142229,0,0.021091697,0,0.410537356,0.065169488,0.062244769,0.061363334,0.036101003
-0.7,6,0.669768673,0.077880078,0,0.024505056,0,0.431016771,0.068611254,0.082495723,0.079009289,0.044605266
-0.6,6,0.715698451,0.08322075,0,0.027907053,0,0.446919191,0.071357115,0.105304638,0.098530665,0.053724137
-0.5,6,0.757013713,0.08802485,0,0.031152031,0,0.45837534,0.073412114,0.129396234,0.118890586,0.063000911
-0.4,6,0.792584985,0.092161045,0,0.034085752,0,0.465930192,0.074843083,0.153039977,0.138708782,0.07185951
-0.3,6,0.821403138,0.095511993,0,0.036557247,0,0.470412978,0.075760948,0.174257631,0.156408955,0.079660404
-0.2,6,0.84262686,0.097979867,0,0.038431578,0,0.472750719,0.076294105,0.191099964,0.170425796,0.085777678
-0.1,6,0.855623419,0.099491095,0,0.039601993,0,0.473772478,0.076559597,0.201931585,0.179431639,0.089684017
0,6,0.86,0.1,0,0.04,0,0.474045991,0.076638469,0.205668441,0.182537738,0.091027356
0.1,6,0.855623419,0.099491095,0,0.039601993,0,0.473772478,0.076559597,0.201931585,0.179431639,0.089684017
0.2,6,0.84262686,0.097979867,0,0.038431578,0,0.472750719,0.076294105,0.191099964,0.170425796,0.085777678
