"x","SVEIR_Synth_Data","Out_SVEIR_t0","Out_SVEIR_t6","Out_SVEIR_t12","Out_SVEIR_t18","Out_SVEIR_t24","Out_SVEIR_t30","Out_SVEIR_t36","Out_SVEIR_t42","Out_SVEIR_t48","Out_SVEIR_t54","Out_SVEIR_t60"
0.4,0.792584984676043,0.792584984676043,0.465930191929361,0.083811003501147,0.00188705005591776,1.40282737950397e-05,7.98261620854575e-08,-4.62846110689278e-09,1.29749882074898e-08,1.55487442898062e-08,1.41346289634437e-08,-8.14587984469429e-09
0.5,0.757013713483482,0.757013713483482,0.45837533979419,0.100688589388482,0.00322785255625798,3.36310951617681e-05,2.52389532417581e-07,-5.07557206457667e-11,6.23163874722523e-09,9.01254586239416e-09,6.09243989158791e-09,-2.35743468797269e-09
0.6,0.715698450593659,0.715698450593659,0.446919190812862,0.121301086827069,0.0058384784889705,9.0532246073436e-05,9.63243710634124e-07,1.13644542277423e-08,4.41720461331393e-09,6.064620844569e-09,3.5927362398495e-09,-8.22184101967714e-10
0.7,0.669768673441408,0.669768673441408,0.431016770522972,0.144042705134234,0.0107835006629898,0.000261773526671484,4.18288699853417e-06,7.0740487466238e-08,5.13208917872373e-09,1.22662333999903e-09,1.47822402824541e-09,-1.56627724251095e-10
0.8,0.62042316970509,0.62042316970509,0.410537356320212,0.166084293343533,0.0195763343341518,0.000774295871255748,1.93754128020559e-05,4.56036369250046e-07,1.45147747124405e-08,6.91258946340936e-11,6.74690303127882e-11,2.78824320464185e-14
0.9,0.568878616229437,0.568878616229437,0.385804057191641,0.183939971531054,0.0336098584691392,0.00222449976525944,8.96379959246155e-05,3.13211845850886e-06,1.15175484468276e-07,5.4905541162231e-09,1.75590492330665e-10,-6.68973916543169e-13
1,0.516320815430628,0.516320815430628,0.357538063224532,0.194620303114401,0.052732991780041,0.0058845760845939,0.000388278189063552,2.10934811786105e-05,1.10989822568757e-06,6.1357916569186e-08,3.41726736765905e-09,1.22541127995209e-10
1.1,0.463861237539128,0.463861237539128,0.326733152264461,0.196705051840019,0.0738526990350486,0.0136069499872171,0.00147902704333215,0.000127003189180479,1.0093023585268e-05,7.92556588981434e-07,6.19322530319853e-08,4.36642568676853e-09
1.2,0.412500951193838,0.412500951193838,0.294502827842917,0.190643418364216,0.0916576970628933,0.0263264952767106,0.00466579215106678,0.00063224972849702,7.67473646309074e-05,8.97190165876387e-06,1.0350640608203e-06,1.16631085839022e-07
1.3,0.363103345207809,0.363103345207809,0.261940163568853,0.178223602888435,0.101761141282024,0.0416332691829559,0.0115653532240882,0.00243733886822549,0.000446746637123238,7.7202776494407e-05,1.30351927051269e-05,2.17787759328833e-06
1.4,0.31637631940744,0.31637631940744,0.230015064884198,0.161721837316718,0.103138721789632,0.0541911308472381,0.0218278237501595,0.00690078868391356,0.00186636316444438,0.00046564405564915,0.000111909160749176,2.64715730839506e-05
1.5,0.272863918963346,0.272863918963346,0.199515788989643,0.143236571633363,0.0976531877102719,0.060073426501783,0.0316048422966105,0.0139696825561253,0.00535116444648944,0.00186714859180841,0.000617956476248096,0.00019898412724124
1.6,0.232946762484598,0.232946762484598,0.171028831959519,0.124378328079836,0.0881059804201606,0.0593228133115813,0.0368444532336773,0.0206481366058256,0.0104375525322815,0.00485083532785814,0.00212523665499296,0.000896628230480531
1.7,0.196850113373711,0.196850113373711,0.14494580303563,0.106231801294108,0.0768603186540528,0.0543033790196288,0.0369441968952247,0.0238727883956509,0.0145414312481461,0.00836388949292063,0.00458219259079016,0.00241765126118717
1.8,0.164658093723686,0.164658093723686,0.121485902112161,0.0894469055317309,0.0654556221833374,0.0473894821540147,0.0337480033537758,0.023489239585747,0.0158940600369884,0.0104294886414128,0.00664183143737816,0.00411762216650859
1.9,0.136332349988948,0.136332349988948,0.100725258684998,0.0743586660001079,0.054740250125358,0.0401101322161672,0.029188292714808,0.0210414481152985,0.0149893887420938,0.0105322876068984,0.00729310529107011,0.00497742180872393
2,0.111733443142351,0.111733443142351,0.0826275061472063,0.061090897311929,0.045112023617693,0.033246536693392,0.0244337260027219,0.0178909821648828,0.0130399722527437,0.00945260019364763,0.00681065428099676,0.00487582228893638
